device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-18;2024-07;temperatura;20.30;8.27;2.40
sirrosteste_UCS_AMV-18;2024-07;umidade;99.80;95.87;75.50
sirrosteste_UCS_AMV-18;2024-07;luminosidade;4199.30;454.14;1.00
sirrosteste_UCS_AMV-18;2024-07;ruido;114.30;83.45;48.80
sirrosteste_UCS_AMV-18;2024-07;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-18;2024-07;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-18;2024-06;temperatura;28.60;16.66;3.70
sirrosteste_UCS_AMV-18;2024-06;umidade;99.90;86.05;53.10
sirrosteste_UCS_AMV-18;2024-06;luminosidade;4213.00;412.87;0.70
sirrosteste_UCS_AMV-18;2024-06;ruido;120.00;83.40;53.60
sirrosteste_UCS_AMV-18;2024-06;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-18;2024-06;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-18;2024-05;temperatura;33.20;15.25;3.50
sirrosteste_UCS_AMV-18;2024-05;umidade;99.90;92.46;49.30
sirrosteste_UCS_AMV-18;2024-05;luminosidade;5409.40;453.44;1.20
sirrosteste_UCS_AMV-18;2024-05;ruido;120.00;83.01;51.90
sirrosteste_UCS_AMV-18;2024-05;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-18;2024-05;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-18;2024-04;temperatura;35.00;21.18;14.00
sirrosteste_UCS_AMV-18;2024-04;umidade;118.90;81.62;40.80
sirrosteste_UCS_AMV-18;2024-04;luminosidade;6307.10;488.85;0.00
sirrosteste_UCS_AMV-18;2024-04;ruido;120.00;70.73;41.30
sirrosteste_UCS_AMV-18;2024-04;eco2;1085.00;26.76;0.00
sirrosteste_UCS_AMV-18;2024-04;etvoc;2174.00;552.50;400.00
sirrosteste_UCS_AMV-18;2024-01;temperatura;25.20;25.20;25.20
sirrosteste_UCS_AMV-18;2024-01;umidade;63.30;63.30;63.30
sirrosteste_UCS_AMV-18;2024-01;luminosidade;290.80;247.49;190.10
sirrosteste_UCS_AMV-18;2024-01;ruido;104.10;80.40;63.10
sirrosteste_UCS_AMV-18;2024-01;eco2;88.00;26.79;0.00
sirrosteste_UCS_AMV-18;2024-01;etvoc;981.00;580.14;404.00
sirrosteste_UCS_AMV-18;2023-05;temperatura;23.40;19.71;14.20
sirrosteste_UCS_AMV-18;2023-05;umidade;75.30;67.62;51.70
sirrosteste_UCS_AMV-18;2023-05;luminosidade;1865.80;133.22;0.00
sirrosteste_UCS_AMV-18;2023-05;ruido;113.70;58.19;41.70
sirrosteste_UCS_AMV-18;2023-05;eco2;180.00;9.03;0.00
sirrosteste_UCS_AMV-18;2023-05;etvoc;1518.00;485.61;400.00
sirrosteste_UCS_AMV-18;2023-04;temperatura;27.00;21.97;16.20
sirrosteste_UCS_AMV-18;2023-04;umidade;67.00;57.44;42.70
sirrosteste_UCS_AMV-18;2023-04;luminosidade;631.70;9.51;0.00
sirrosteste_UCS_AMV-18;2023-04;ruido;120.00;62.93;43.10
sirrosteste_UCS_AMV-18;2023-04;eco2;576.00;8.73;0.00
sirrosteste_UCS_AMV-18;2023-04;etvoc;2758.00;508.14;0.00
sirrosteste_UCS_AMV-18;2023-02;temperatura;37.80;26.81;22.30
sirrosteste_UCS_AMV-18;2023-02;umidade;61.80;50.19;32.40
sirrosteste_UCS_AMV-18;2023-02;luminosidade;4565.80;455.68;0.00
sirrosteste_UCS_AMV-18;2023-02;ruido;120.00;79.90;56.30
sirrosteste_UCS_AMV-18;2023-02;eco2;647.00;105.27;0.00
sirrosteste_UCS_AMV-18;2023-02;etvoc;8192.00;1398.92;0.00
